1462795686862750	7652	da	9e	6b	9a	a6	c9
1462795686862823	7654	98	58	86	3b	17	80
1462795686863010	7655	71	80	b2	0f	6a	a6
1462795686863700	7657	a2	bf	b0	17	b8	64
1462795686863875	7658	b0	d7	d8	d7	08	9d
1462795686863969	7659	d7	54	37	14	ce	b7
1462795686864097	7661	77	48	a2	15	f3	07
1462795686864165	7662	77	f8	13	2a	5b	3f
1462795686915865	7665	9d	01	2a	00	02	00
1462795686916711	7666	da	9e	6b	9a	a6	c9
1462795686916835	7668	98	58	86	3b	17	80
1462795686916957	7669	71	80	b2	0f	6a	a6
1462795686917080	7671	a2	bf	b0	17	b8	64
1462795686917204	7672	b0	d7	d8	d7	08	9d
1462795686917716	7674	d7	54	37	14	ce	b7
1462795686917837	7675	77	48	a2	15	f3	07
1462795686917930	7677	77	f8	13	2a	5b	3f
1462795686967873	7680	9d	01	2a	00	02	00
1462795686968760	7681	da	9e	6b	9a	a6	c9
1462795686969766	7683	98	58	86	3b	17	80
1462795686969860	7684	71	80	b2	0f	6a	a6
1462795686970014	7686	a2	bf	b0	17	b8	64
1462795686970090	7687	b0	d7	d8	d7	08	9d
1462795686970233	7689	d7	54	37	14	ce	b7
1462795686970370	7690	77	48	a2	15	f3	07
1462795686970430	7692	77	f8	13	2a	5b	3f
1462795687016747	7694	9d	01	2a	00	02	00
1462795687017769	7695	da	9e	6b	9a	a6	c9
1462795687017846	7697	98	58	86	3b	17	80
1462795687018772	7698	71	80	b2	0f	6a	a6
1462795687018846	7700	a2	bf	b0	17	b8	64
1462795687019076	7701	b0	d7	d8	d7	08	9d
1462795687019093	7702	d7	54	37	14	ce	b7
1462795687019313	7704	77	48	a2	15	f3	07
1462795687019324	7705	77	f8	13	2a	5b	3f
1462795687070879	7707	9d	01	2a	00	02	00
1462795687071781	7708	1b	b6	05	64	0e	e6
1462795687071860	7709	1b	dd	30	f9	e6	cd
1462795687072029	7711	12	ea	e7	77	15	1b
1462795687072163	7712	5b	89	4c	a3	80	a7
1462795687072749	7714	b5	e0	8d	2d	fe	06
1462795687072854	7715	a7	19	25	ea	05	d1
1462795687073054	7717	a2	1e	06	b7	70	fc
1462795687073060	7718	93	18	98	a8	13	fe
1462795687121885	7720	9d	01	2a	00	02	00
1462795687122781	7721	1b	b6	05	64	0e	e6
1462795687122860	7722	1b	dd	30	f9	e6	cd
1462795687123035	7724	12	ea	e7	77	15	1b
1462795687123168	7725	5b	89	4c	a3	80	a7
1462795687123822	7727	b5	e0	8d	2d	fe	06
1462795687123924	7728	a7	19	25	ea	05	d1
1462795687123981	7730	a2	1e	06	b7	70	fc
1462795687124107	7731	93	18	98	a8	13	fe
1462795687171897	7733	9d	01	2a	00	02	00
1462795687172797	7734	1b	b6	05	64	0e	e6
1462795687173795	7736	1b	dd	30	f9	e6	cd
1462795687173875	7737	12	ea	e7	77	15	1b
1462795687174044	7739	5b	89	4c	a3	80	a7
1462795687174119	7740	b5	e0	8d	2d	fe	06
1462795687174309	7742	a7	19	25	ea	05	d1
1462795687174367	7743	a2	1e	06	b7	70	fc
1462795687174441	7744	93	18	98	a8	13	fe
1462795687221870	7746	9d	01	2a	00	02	00
1462795687222901	7747	1b	b6	05	64	0e	e6
1462795687223806	7749	1b	dd	30	f9	e6	cd
1462795687223884	7750	12	ea	e7	77	15	1b
1462795687224074	7752	5b	89	4c	a3	80	a7
1462795687224125	7753	b5	e0	8d	2d	fe	06
1462795687224248	7754	a7	19	25	ea	05	d1
1462795687224767	7756	a2	1e	06	b7	70	fc
1462795687224780	7757	93	18	98	a8	13	fe
1462795687268903	7759	9d	01	2a	00	02	00
1462795687269802	7760	1b	b6	05	64	0e	e6
1462795687269893	7762	1b	dd	30	f9	e6	cd
1462795687270061	7763	12	ea	e7	77	15	1b
1462795687270728	7765	5b	89	4c	a3	80	a7
1462795687270857	7766	b5	e0	8d	2d	fe	06
1462795687271011	7767	a7	19	25	ea	05	d1
1462795687271134	7769	a2	1e	06	b7	70	fc
1462795687271215	7770	93	18	98	a8	13	fe
1462795687314934	7772	9d	01	2a	00	02	00
1462795687315947	7773	1b	b6	05	64	0e	e6
1462795687316848	7775	1b	dd	30	f9	e6	cd
1462795687316945	7776	12	ea	e7	77	15	1b
1462795687317017	7778	5b	89	4c	a3	80	a7
1462795687317185	7779	b5	e0	8d	2d	fe	06
1462795687317286	7781	a7	19	25	ea	05	d1
1462795687317432	7782	a2	1e	06	b7	70	fc
1462795687317453	7783	93	18	98	a8	13	fe
1462795687374939	7785	9d	01	2a	00	02	00
1462795687375816	7786	1b	b6	05	64	0e	e6
1462795687375934	7787	1b	dd	30	f9	e6	cd
1462795687376085	7789	12	ea	e7	77	15	1b
1462795687376811	7790	5b	89	4c	a3	80	a7
1462795687376901	7792	b5	e0	8d	2d	fe	06
1462795687377044	7793	a7	19	25	ea	05	d1
1462795687377216	7795	a2	1e	06	b7	70	fc
1462795687377224	7796	93	18	98	a8	13	fe
1462795687443943	7800	9d	01	2a	00	02	00
1462795687444831	7801	1b	b6	05	64	0e	e6
1462795687444913	7803	1b	dd	30	f9	e6	cd
1462795687445080	7804	12	ea	e7	77	15	1b
1462795687445169	7805	5b	89	4c	a3	80	a7
1462795687445284	7807	b5	e0	8d	2d	fe	06
1462795687445806	7809	a7	19	25	ea	05	d1
1462795687445884	7810	a2	1e	06	b7	70	fc
1462795687445953	7811	93	18	98	a8	13	fe
1462795687494949	7813	9d	01	2a	00	02	00
1462795687495838	7814	1b	b6	05	64	0e	e6
1462795687495920	7815	1b	dd	30	f9	e6	cd
1462795687496092	7817	12	ea	e7	77	15	1b
1462795687496228	7818	5b	89	4c	a3	80	a7
1462795687496825	7820	b5	e0	8d	2d	fe	06
1462795687496905	7821	a7	19	25	ea	05	d1
1462795687497073	7823	a2	1e	06	b7	70	fc
1462795687497153	7824	93	18	98	a8	13	fe
1462795687545852	7826	9d	01	2a	00	02	00
1462795687546858	7827	74	8c	37	cf	6d	48
1462795687546932	7829	ad	c9	91	92	58	ec
1462795687547073	7830	4e	e3	91	12	03	9c
1462795687547181	7832	95	f9	57	4d	f4	be
1462795687547353	7833	54	4c	7a	6d	51	68
1462795687547440	7835	3b	11	0f	ff	c5	38
1462795687547840	7836	a4	92	17	75	ef	be
1462795687547948	7838	95	9f	c1	95	57	1e
1462795687548100	7839	8f	0c	45	32	52	4a
1462795687599956	7841	9d	01	2a	00	02	00
1462795687600843	7842	d9	73	c5	93	f9	e3
1462795687600937	7844	40	32	90	cc	af	da
1462795687601853	7845	ac	77	17	82	5c	06
1462795687601946	7847	64	35	bf	f4	71	2c
1462795687602061	7848	60	bb	41	e2	48	e6
1462795687602185	7850	6d	f7	6e	88	29	0d
1462795687602346	7851	9a	e4	a5	0b	dd	9e
1462795687602494	7853	3c	a8	b2	94	a6	55
1462795687650919	7855	9d	01	2a	00	02	00
1462795687651881	7856	14	6b	e3	5f	11	1d
1462795687652884	7858	6a	cc	71	28	7a	13
1462795687652973	7859	1d	0b	bd	80	ed	07
1462795687653115	7861	98	f2	c4	2e	02	04
1462795687653252	7862	34	69	d4	1c	68	c5
1462795687653395	7864	f3	53	e4	31	ce	d2
1462795687653444	7865	66	93	20	e5	f2	2a
1462795687653556	7867	01	62	ac	8f	4e	41
1462795687700986	7869	9d	01	2a	00	02	00
1462795687701887	7870	14	6b	e3	5f	11	1d
1462795687702876	7872	6a	cc	71	28	7a	13
1462795687703010	7873	1d	0b	bd	80	ed	07
1462795687703107	7874	98	f2	c4	2e	02	04
1462795687703315	7876	34	69	d4	1c	68	c5
1462795687703326	7877	f3	53	e4	31	ce	d2
1462795687703529	7879	66	93	20	e5	f2	2a
1462795687703574	7880	01	62	ac	8f	4e	41
1462795687747858	7882	9d	01	2a	00	02	00
1462795687748849	7883	14	6b	e3	5f	11	1d
1462795687748966	7885	6a	cc	71	28	7a	13
1462795687749143	7886	1d	0b	bd	80	ed	07
1462795687749206	7888	98	f2	c4	2e	02	04
1462795687749373	7889	34	69	d4	1c	68	c5
1462795687749859	7891	f3	53	e4	31	ce	d2
1462795687749981	7892	66	93	20	e5	f2	2a
1462795687750122	7894	01	62	ac	8f	4e	41
1462795687796959	7896	9d	01	2a	00	02	00
1462795687797864	7897	14	6b	e3	5f	11	1d
1462795687797967	7899	1d	0b	bd	80	ed	07
1462795687798109	7901	98	f2	c4	2e	02	04
1462795687798238	7903	34	69	d4	1c	68	c5
1462795687798864	7905	f3	53	e4	31	ce	d2
1462795687798984	7907	66	93	20	e5	f2	2a
1462795687799101	7909	01	62	ac	8f	4e	41
1462795687826968	7911	6a	cc	71	28	7a	13
1462795687852977	7913	9d	01	2a	00	02	00
1462795687853872	7915	14	6b	e3	5f	11	1d
1462795687853985	7917	6a	cc	71	28	7a	13
1462795687854122	7919	1d	0b	bd	80	ed	07
1462795687854958	7921	98	f2	c4	2e	02	04
1462795687880999	7923	34	69	d4	1c	68	c5
1462795687881902	7925	f3	53	e4	31	ce	d2
1462795687882904	7927	66	93	20	e5	f2	2a
1462795687883874	7929	01	62	ac	8f	4e	41
1462795687903059	7932	9d	01	2a	00	02	00
1462795687903962	7934	6a	cc	71	28	7a	13
1462795687908962	7936	1d	0b	bd	80	ed	07
1462795687909977	7938	98	f2	c4	2e	02	04
1462795687911975	7940	f3	53	e4	31	ce	d2
1462795687932013	7943	66	93	20	e5	f2	2a
1462795687932883	7945	01	62	ac	8f	4e	41
1462795687937980	7947	14	6b	e3	5f	11	1d
1462795687960011	7949	34	69	d4	1c	68	c5
1462795687967012	7951	9d	01	2a	00	02	00
1462795687967914	7953	14	6b	e3	5f	11	1d
1462795687967987	7955	6a	cc	71	28	7a	13
1462795687988017	7957	1d	0b	bd	80	ed	07
1462795687995013	7959	98	f2	c4	2e	02	04
1462795687995895	7961	34	69	d4	1c	68	c5
1462795687996879	7963	f3	53	e4	31	ce	d2
1462795687997871	7965	66	93	20	e5	f2	2a
1462795688015984	7967	01	62	ac	8f	4e	41
1462795688023050	7969	5f	96	ff	e0	3f	f3
1462795688024039	7971	82	b4	08	c4	f4	2c
1462795688025042	7973	e9	5d	7e	03	7d	f3
1462795688026017	7975	dd	f9	f3	d9	ad	98
1462795688044042	7977	be	20	7b	25	4e	5f
1462795688051044	7978	d0	f1	28	c9	bd	1e
1462795688052044	7980	48	cb	90	ff	b6	3c
1462795688053043	7981	98	bc	2c	57	90	3c
1462795688054047	7983	2b	46	db	29	87	f7
1462795688079050	7984	0e	f7	df	f0	7d	01
1462795688079891	7986	b2	7c	90	2a	6a	e0
1462795688080077	7987	73	0a	9a	a9	e4	18
1462795688081039	7989	0a	50	23	bf	77	1c
1462795688081940	7990	d3	70	cc	9e	5e	5b
1462795688107042	7992	72	c9	4f	92	92	ca
1462795688107943	7993	26	ed	0b	ea	5b	4b
1462795688108937	7995	3c	06	44	0a	2d	35
1462795688108998	7996	8d	bf	f4	58	33	da
1462795688110031	7998	9d	01	2a	00	02	00
1462795688110937	7999	ed	c4	c2	59	09	42
1462795688136044	8001	73	96	f5	2b	d1	87
1462795688136940	8002	a6	29	4f	3d	b5	f4
1462795688137941	8004	2b	99	57	0f	82	e2
1462795688138018	8005	0c	57	01	3c	c9	03
1462795688139041	8007	14	fc	d6	52	6e	93
1462795688139941	8008	21	a9	3e	6d	08	bf
1462795688165020	8010	60	7d	8d	6b	e1	f3
1462795688165921	8011	fb	1f	fd	0f	41	df
1462795688167015	8013	b6	41	3e	4c	ed	69
1462795688167927	8014	4b	af	69	5d	16	31
1462795688168920	8016	dd	b9	21	69	b5	49
1462795688169079	8017	a5	ec	15	9b	c3	3f
1462795688169149	8018	5b	b9	b0	dd	68	ed
1462795688194019	8020	68	1a	16	a2	75	49
1462795688194923	8021	72	b1	60	0a	76	74
1462795688195910	8023	6e	84	ee	90	a7	46
1462795688207030	8025	9d	01	2a	00	02	00
1462795688207927	8026	64	1f	97	ff	25	98
1462795688208111	8028	d1	3b	71	56	aa	86
1462795688208155	8029	a2	94	ec	06	80	d6
1462795688223033	8031	98	6e	8d	15	9e	79
1462795688223928	8032	da	b8	0a	e0	e3	b0
1462795688224934	8034	79	e6	8f	92	e3	e2
1462795688236032	8035	97	00	3b	ce	e8	2c
1462795688236868	8037	ba	44	0b	33	11	7d
1462795688260062	8039	9d	01	2a	00	02	00
1462795688260961	8040	64	1f	97	ff	25	98
1462795688261039	8041	d1	3b	71	56	aa	86
1462795688261179	8043	a2	94	ec	06	80	d6
1462795688264061	8044	98	6e	8d	15	9e	79
1462795688264963	8046	da	b8	0a	e0	e3	b0
1462795688289082	8047	79	e6	8f	92	e3	e2
1462795688289978	8049	97	00	3b	ce	e8	2c
1462795688290102	8050	ba	44	0b	33	11	7d
1462795688308069	8052	9d	01	2a	00	02	00
1462795688308965	8053	64	1f	97	ff	25	98
1462795688309044	8054	d1	3b	71	56	aa	86
1462795688316973	8056	a2	94	ec	06	80	d6
1462795688317939	8058	98	6e	8d	15	9e	79
1462795688318111	8059	da	b8	0a	e0	e3	b0
1462795688318168	8060	79	e6	8f	92	e3	e2
1462795688318291	8062	97	00	3b	ce	e8	2c
1462795688336982	8063	ba	44	0b	33	11	7d
1462795688359071	8065	9d	01	2a	00	02	00
1462795688359977	8066	64	1f	97	ff	25	98
1462795688360969	8068	d1	3b	71	56	aa	86
1462795688361048	8069	a2	94	ec	06	80	d6
1462795688361174	8070	98	6e	8d	15	9e	79
1462795688361293	8072	da	b8	0a	e0	e3	b0
1462795688365068	8073	79	e6	8f	92	e3	e2
1462795688365921	8075	97	00	3b	ce	e8	2c
1462795688387994	8076	ba	44	0b	33	11	7d
1462795688409096	8079	9d	01	2a	00	02	00
1462795688410014	8080	64	1f	97	ff	25	98
1462795688410078	8082	d1	3b	71	56	aa	86
1462795688410239	8083	a2	94	ec	06	80	d6
1462795688410974	8085	98	6e	8d	15	9e	79
1462795688411087	8086	da	b8	0a	e0	e3	b0
1462795688416087	8088	79	e6	8f	92	e3	e2
1462795688416934	8089	97	00	3b	ce	e8	2c
1462795688437990	8092	ba	44	0b	33	11	7d
1462795688465106	8094	9d	01	2a	00	02	00
1462795688466004	8095	64	1f	97	ff	25	98
1462795688466144	8096	d1	3b	71	56	aa	86
1462795688466205	8098	a2	94	ec	06	80	d6
1462795688466949	8100	98	6e	8d	15	9e	79
1462795688467058	8101	da	b8	0a	e0	e3	b0
1462795688467223	8103	79	e6	8f	92	e3	e2
1462795688467349	8104	97	00	3b	ce	e8	2c
1462795688493979	8106	ba	44	0b	33	11	7d
1462795688520072	8108	9d	01	2a	00	02	00
1462795688520974	8109	64	1f	97	ff	25	98
1462795688521115	8111	d1	3b	71	56	aa	86
1462795688521251	8112	a2	94	ec	06	80	d6
1462795688521328	8113	98	6e	8d	15	9e	79
1462795688521990	8115	da	b8	0a	e0	e3	b0
1462795688522086	8116	79	e6	8f	92	e3	e2
1462795688522973	8118	97	00	3b	ce	e8	2c
1462795688523049	8119	ba	44	0b	33	11	7d
1462795688573081	8121	9d	01	2a	00	02	00
1462795688573985	8122	f6	3a	49	d4	29	e1
1462795688574149	8124	15	07	c7	34	ae	32
1462795688574212	8125	2f	ca	15	80	21	29
1462795688574987	8127	4f	8d	bd	e7	86	11
1462795688575160	8128	b7	92	88	f3	d1	ed
1462795688575211	8129	8f	10	dd	3b	a9	c2
1462795688575373	8131	da	ee	ad	95	2e	c6
1462795688625110	8133	9d	01	2a	00	02	00
1462795688626014	8135	f6	3a	49	d4	29	e1
1462795688626156	8137	15	07	c7	34	ae	32
1462795688626218	8139	2f	ca	15	80	21	29
1462795688627015	8141	4f	8d	bd	e7	86	11
1462795688627151	8143	b7	92	88	f3	d1	ed
1462795688627222	8145	8f	10	dd	3b	a9	c2
1462795688642113	8147	da	ee	ad	95	2e	c6
1462795688654997	8149	ce	2b	40	c4	d3	61
1462795688683003	8151	ce	2b	40	c4	d3	61
1462795688684122	8153	9d	01	2a	00	02	00
1462795688685024	8155	f6	3a	49	d4	29	e1
1462795688685207	8157	15	07	c7	34	ae	32
1462795688685224	8159	2f	ca	15	80	21	29
1462795688685415	8161	4f	8d	bd	e7	86	11
1462795688711103	8163	b7	92	88	f3	d1	ed
1462795688712028	8165	8f	10	dd	3b	a9	c2
1462795688713035	8167	da	ee	ad	95	2e	c6
1462795688713117	8169	ce	2b	40	c4	d3	61
1462795688721105	8171	9d	01	2a	00	02	00
1462795688722037	8173	f6	3a	49	d4	29	e1
1462795688723005	8175	15	07	c7	34	ae	32
1462795688723076	8177	2f	ca	15	80	21	29
1462795688739103	8179	4f	8d	bd	e7	86	11
1462795688740133	8180	b7	92	88	f3	d1	ed
1462795688741128	8182	8f	10	dd	3b	a9	c2
1462795688742136	8183	da	ee	ad	95	2e	c6
1462795688748990	8185	ce	2b	40	c4	d3	61
1462795688768136	8187	9d	01	2a	00	02	00
1462795688768997	8188	f6	3a	49	d4	29	e1
1462795688769118	8190	15	07	c7	34	ae	32
1462795688770064	8191	2f	ca	15	80	21	29
1462795688770114	8192	4f	8d	bd	e7	86	11
1462795688771003	8194	b7	92	88	f3	d1	ed
1462795688771093	8195	8f	10	dd	3b	a9	c2
1462795688777081	8197	da	ee	ad	95	2e	c6
1462795688797024	8198	ce	2b	40	c4	d3	61
1462795688818236	8200	9d	01	2a	00	02	00
1462795688819079	8201	f6	3a	49	d4	29	e1
1462795688819998	8203	15	07	c7	34	ae	32
1462795688820129	8204	2f	ca	15	80	21	29
1462795688820245	8206	4f	8d	bd	e7	86	11
1462795688820368	8207	b7	92	88	f3	d1	ed
1462795688825116	8209	8f	10	dd	3b	a9	c2
1462795688826038	8210	da	ee	ad	95	2e	c6
1462795688847039	8212	ce	2b	40	c4	d3	61
1462795688874181	8214	9d	01	2a	00	02	00
1462795688875067	8215	f6	3a	49	d4	29	e1
1462795688875185	8216	15	07	c7	34	ae	32
1462795688876068	8218	2f	ca	15	80	21	29
1462795688876157	8219	4f	8d	bd	e7	86	11
1462795688876252	8221	b7	92	88	f3	d1	ed
1462795688876378	8222	8f	10	dd	3b	a9	c2
1462795688876500	8224	da	ee	ad	95	2e	c6
1462795688902958	8226	ce	2b	40	c4	d3	61
1462795688923180	8228	9d	01	2a	00	02	00
1462795688924078	8229	f6	3a	49	d4	29	e1
1462795688925051	8231	15	07	c7	34	ae	32
1462795688925135	8232	2f	ca	15	80	21	29
1462795688925278	8234	4f	8d	bd	e7	86	11
1462795688925382	8235	b7	92	88	f3	d1	ed
1462795688932174	8238	8f	10	dd	3b	a9	c2
1462795688933034	8239	da	ee	ad	95	2e	c6
1462795688952017	8241	ce	2b	40	c4	d3	61
1462795688969073	8243	9d	01	2a	00	02	00
1462795688970043	8244	f6	3a	49	d4	29	e1
1462795688970146	8245	15	07	c7	34	ae	32
1462795688971070	8247	2f	ca	15	80	21	29
1462795688971252	8249	4f	8d	bd	e7	86	11
1462795688971340	8250	b7	92	88	f3	d1	ed
1462795688971394	8251	8f	10	dd	3b	a9	c2
1462795688980017	8253	da	ee	ad	95	2e	c6
1462795688998050	8254	ce	2b	40	c4	d3	61
1462795689024182	8256	9d	01	2a	00	02	00
1462795689025047	8257	9f	14	72	3c	08	44
1462795689025151	8259	0b	53	b2	34	7d	88
1462795689025311	8260	c1	10	a7	63	c9	76
1462795689026034	8262	1f	15	e0	03	08	93
1462795689026214	8263	f1	e6	57	55	5f	28
1462795689027099	8265	4b	58	d8	01	8e	35
1462795689027112	8266	be	cd	57	45	c5	92
1462795689076227	8268	9d	01	2a	00	02	00
1462795689077193	8269	7a	19	bd	f2	f9	d9
1462795689078103	8271	35	a4	fc	9f	8a	e4
1462795689078198	8272	43	6c	e7	fb	ce	9a
1462795689078317	8274	7e	0f	4c	90	47	56
1462795689078409	8275	96	6d	6c	88	99	58
1462795689078532	8277	7a	3b	c0	33	14	ed
1462795689078978	8278	20	dd	87	4d	3b	aa
1462795689133209	8280	9d	01	2a	00	02	00
1462795689134111	8281	ff	34	f0	53	0d	d6
1462795689134234	8282	3f	13	8f	28	43	13
1462795689135107	8284	61	92	79	aa	9b	b1
1462795689135229	8285	38	ef	5d	3d	2c	2f
1462795689135292	8287	4d	56	4d	db	fd	61
1462795689135419	8288	2f	39	40	fc	e1	03
1462795689135537	8290	ca	fc	90	3c	83	d9
1462795689187200	8292	9d	01	2a	00	02	00
1462795689188202	8293	35	47	ad	e3	4c	53
1462795689189106	8295	b0	16	46	d1	6d	ac
1462795689189184	8296	32	b2	45	e3	d5	0a
1462795689189300	8298	6a	20	53	52	1c	20
1462795689189459	8299	79	85	f8	96	05	b9
1462795689189550	8300	ad	28	a0	38	a9	e4
1462795689190016	8302	a0	f6	08	93	da	cb
1462795689190151	8303	48	d0	75	39	ca	96
1462795689236222	8305	9d	01	2a	00	02	00
1462795689237104	8306	35	47	ad	e3	4c	53
1462795689237249	8308	b0	16	46	d1	6d	ac
1462795689238096	8309	32	b2	45	e3	d5	0a
1462795689238245	8311	6a	20	53	52	1c	20
1462795689238308	8312	79	85	f8	96	05	b9
1462795689238457	8314	ad	28	a0	38	a9	e4
1462795689238684	8315	a0	f6	08	93	da	cb
1462795689238692	8316	48	d0	75	39	ca	96
1462795689293229	8318	9d	01	2a	00	02	00
1462795689294242	8319	35	47	ad	e3	4c	53
1462795689295126	8321	b0	16	46	d1	6d	ac
1462795689295257	8322	32	b2	45	e3	d5	0a
1462795689295315	8324	6a	20	53	52	1c	20
1462795689295446	8325	79	85	f8	96	05	b9
1462795689295565	8327	ad	28	a0	38	a9	e4
1462795689296119	8328	a0	f6	08	93	da	cb
1462795689296158	8330	48	d0	75	39	ca	96
1462795689346220	8332	9d	01	2a	00	02	00
1462795689347100	8333	35	47	ad	e3	4c	53
1462795689347305	8335	b0	16	46	d1	6d	ac
1462795689348122	8336	32	b2	45	e3	d5	0a
1462795689348287	8338	6a	20	53	52	1c	20
1462795689348333	8339	79	85	f8	96	05	b9
1462795689348481	8341	ad	28	a0	38	a9	e4
1462795689348580	8342	a0	f6	08	93	da	cb
1462795689348737	8344	48	d0	75	39	ca	96
1462795689393226	8346	9d	01	2a	00	02	00
1462795689394109	8347	35	47	ad	e3	4c	53
1462795689395075	8349	b0	16	46	d1	6d	ac
1462795689395305	8350	32	b2	45	e3	d5	0a
1462795689395439	8352	6a	20	53	52	1c	20
1462795689395578	8353	79	85	f8	96	05	b9
1462795689395650	8355	ad	28	a0	38	a9	e4
1462795689395767	8356	a0	f6	08	93	da	cb
1462795689395948	8358	48	d0	75	39	ca	96
1462795689439250	8362	9d	01	2a	00	02	00
1462795689440115	8363	35	47	ad	e3	4c	53
1462795689440243	8365	b0	16	46	d1	6d	ac
1462795689440386	8366	32	b2	45	e3	d5	0a
1462795689441062	8368	6a	20	53	52	1c	20
1462795689441196	8369	79	85	f8	96	05	b9
1462795689441313	8371	ad	28	a0	38	a9	e4
1462795689441404	8372	48	d0	75	39	ca	96
1462795689472160	8374	a0	f6	08	93	da	cb
1462795689488256	8376	9d	01	2a	00	02	00
1462795689489146	8378	35	47	ad	e3	4c	53
1462795689490114	8380	b0	16	46	d1	6d	ac
1462795689516248	8382	32	b2	45	e3	d5	0a
1462795689517252	8384	6a	20	53	52	1c	20
1462795689518252	8386	79	85	f8	96	05	b9
1462795689545254	8388	a0	f6	08	93	da	cb
1462795689546262	8390	48	d0	75	39	ca	96
1462795689573260	8392	54	d7	d4	f3	d3	f2
1462795689574254	8394	60	e5	30	40	ee	b3
1462795689601262	8396	ad	28	a0	38	a9	e4
1462795689602264	8398	c3	09	8a	5d	c5	d8
1462795689629168	8400	2f	c8	d8	a2	ae	bf
1462795689630213	8402	b2	55	bd	d5	ce	24
1462795689631172	8404	40	47	d0	fa	73	fe
1462795689657248	8406	86	2e	15	45	96	0f
1462795689658247	8408	cf	ca	ac	30	7a	0f
1462795689659242	8410	3a	3b	e3	57	3a	42
1462795689685250	8412	17	18	55	d3	33	a2
1462795689686229	8414	3e	61	08	39	a0	a5
1462795689687231	8416	a1	da	a6	3a	53	51
1462795689713287	8418	b1	ba	5f	a5	b0	96
1462795689714132	8420	7e	dc	cf	e6	f7	c1
1462795689715136	8422	de	4e	29	3f	05	a7
1462795689716130	8424	9c	11	1f	09	2e	a9
1462795689742240	8426	7c	e7	76	3e	28	37
1462795689743240	8428	a3	e3	93	2c	13	d1
1462795689744241	8430	b4	a0	00	06	97	1a
1462795689745138	8432	3a	fc	17	70	9e	a1
1462795689770293	8434	83	27	32	b1	59	f9
1462795689771289	8436	47	05	26	d5	26	59
1462795689772291	8438	3d	c9	83	d8	69	2b
1462795689798301	8440	02	bc	cf	c8	da	7f
1462795689799306	8442	8f	0c	7a	11	5d	ec
1462795689800265	8444	af	40	c2	58	89	70
1462795689826313	8446	fb	07	09	21	0e	78
1462795689827212	8448	42	40	a1	f6	d0	e5
1462795689828193	8450	d3	00	4b	a7	37	2f
1462795689829198	8452	a8	ac	2c	1e	90	49
1462795689854306	8454	2c	25	6f	9b	41	48
1462795689855175	8456	3a	53	51	59	86	78
1462795689856157	8458	db	1b	01	ba	a7	22
1462795689857198	8460	75	87	bc	1d	6e	58
1462795689858200	8462	78	de	7e	7f	be	3c
1462795689882282	8464	6a	4b	fa	a3	71	cd
1462795689883287	8466	a0	64	da	aa	f1	20
1462795689884281	8468	8d	23	c3	47	5a	7d
1462795689885283	8469	55	26	c8	6f	01	e2
1462795689886290	8471	f9	73	29	14	8e	ea
1462795689910269	8473	89	93	f2	d7	f1	1f
1462795689911288	8475	92	3c	ca	47	63	b5
1462795689913327	8476	12	c1	9c	6c	0d	38
1462795689914183	8478	e6	43	9e	c4	ac	53
1462795689938295	8480	3d	3f	2c	69	53	cf
1462795689939220	8482	24	49	bf	b1	c9	12
1462795689941291	8483	fd	e9	b1	a4	63	9e
1462795689942197	8485	3f	8a	a9	36	43	98
1462795689966327	8486	59	9d	a2	76	58	c9
1462795689967235	8488	fe	52	60	6e	34	0c
1462795689969318	8489	db	36	4a	bb	a9	66
1462795689970219	8491	b1	3f	2d	08	23	cf
1462795689994326	8492	52	73	7d	3f	9c	9e
1462795689995223	8494	79	91	59	f0	d4	1d
1462795689997310	8495	d8	16	79	30	ad	4a
1462795689998252	8497	5e	be	f5	f3	e6	fd
1462795690022336	8498	d0	7f	7f	52	b6	62
1462795690023231	8500	a3	22	d7	32	03	62
1462795690023305	8501	cd	34	3f	80	59	76
1462795690025329	8503	ca	3c	87	0a	27	eb
1462795690026232	8504	80	4b	14	08	27	e5
1462795690050329	8506	8a	72	67	3a	5f	6f
1462795690051234	8507	f3	e2	0c	c6	75	8c
1462795690052235	8509	d6	da	3c	29	ab	ad
1462795690052315	8510	6d	3a	48	14	f1	b1
1462795690054334	8512	2e	36	fa	98	e9	4d
1462795690055233	8513	0d	56	1a	05	84	cc
1462795690079339	8515	38	03	7b	3f	3a	81
1462795690080235	8516	47	82	3d	f4	55	7a
1462795690081339	8518	28	71	26	67	d9	35
1462795690082031	8519	7b	e4	10	1f	0d	c8
1462795690083342	8521	9d	01	2a	00	02	00
1462795690084242	8522	55	2f	67	62	6d	b8
1462795690108344	8524	30	07	c2	2a	c0	71
1462795690109238	8525	95	f1	94	c4	0b	fc
1462795690110344	8527	81	92	0a	ad	d2	24
1462795690111243	8528	7d	bb	1c	db	e4	c3
1462795690112360	8530	46	93	d6	dc	46	86
1462795690113240	8531	19	5b	8f	5f	13	65
1462795690137353	8533	9a	09	5b	57	68	fc
1462795690138260	8534	c6	95	3c	f4	fc	b1
1462795690139322	8536	97	0d	5a	d9	73	01
1462795690140220	8537	6b	dd	98	28	b9	eb
1462795690141319	8539	b3	af	6a	89	52	00
1462795690142204	8540	4d	46	7c	0c	1a	f3
1462795690143219	8542	b9	25	b2	83	c9	91
1462795690166397	8543	ac	fa	0e	50	35	8b
